URL,Último rastreamento
https://fymoob.com.br/busca?codigo=AP00945,2026-05-05
https://fymoob.com.br/apartamentos-curitiba?page=2,2026-05-01
https://fymoob.com.br/busca?finalidade=venda&page=1,2026-04-30
https://fymoob.com.br/imovel/sobrado-cidade-industrial-curitiba-pr-2-quartos-69804700,2026-04-29
https://fymoob.com.br/imovel/apartamento-bigorrilho-curitiba-pr-3-quartos-177m2-AP01067,2026-04-29
https://fymoob.com.br/busca?finalidade=Venda&DestaqueWeb=Sim&Lancamento=Nao&page=1,2026-04-29
https://fymoob.com.br/busca?finalidade=Venda&DestaqueWeb=Sim&Lancamento=Nao&page=2,2026-04-29
https://fymoob.com.br/busca?DestaqueWeb=Sim&Lancamento=Sim,2026-04-28
https://fymoob.com.br/busca?tipo=Casa&ordenar,2026-04-28
https://fymoob.com.br/busca?finalidade=Venda&order=menor-preco&min=10000.00,2026-04-27
https://fymoob.com.br/busca?SuperDestaqueWeb=Sim&Lancamento=Nao,2026-04-26
https://fymoob.com.br/imovel/apartamento-seminario-curitiba-pr-2-quartos-96m2-69804752,2026-04-25
https://fymoob.com.br/imovel/apartamento-campo-comprido-curitiba-pr-3-quartos-211m2-69803208,2026-04-25
https://fymoob.com.br/busca?tipo=Ch%C3%A1cara&listagem=lista,2026-04-25
https://fymoob.com.br/busca?finalidade=Aluguel&order=menor-preco,2026-04-24
https://fymoob.com.br/busca?tipo=Casa,2026-04-22
